league,season,date,home_team,away_team,FTHG,FTAG,FTR,home_xg,away_xg,home_elo,away_elo,elo_diff,home_form_l5,home_form_l10,home_finishing_efficiency_l5,home_finishing_efficiency_l10,home_attacking_xg_l5,home_attacking_xg_l10,home_defensive_xg_l5,home_defensive_xg_l10,home_rest_days,away_form_l5,away_form_l10,away_finishing_efficiency_l5,away_finishing_efficiency_l10,away_attacking_xg_l5,away_attacking_xg_l10,away_defensive_xg_l5,away_defensive_xg_l10,away_rest_days,form_diff_l5,form_diff_l10,attack_vs_defense_l5,defense_vs_attack_l5
FRA-Ligue 1,2526,2026-01-03,Metz,Brest,,,,,,1542.69421387,1656.07324219,-113.37902831999986,3.0,9.0,0.5235868000000001,0.18494700000000008,0.8764132,1.015053,1.8609301999999999,2.0876441,21.0,9.0,12.0,-0.016144199999999876,-0.3996571999999999,1.4161442000000002,1.3996572,1.4678513999999996,1.3041374,21.0,-6.0,-3.0,-0.5914381999999996,0.4447859999999997
FRA-Ligue 1,2526,2026-01-03,Marseille,Lyon,,,,,,1785.99633789,1739.76843262,46.22790526999984,10.0,20.0,0.052525399999999986,0.3329141000000001,2.1474746000000002,2.0670859,1.1345884,1.0146356,20.0,10.0,15.0,-0.3709393999999999,0.10258129999999972,1.7709394,1.4974187,1.3255895999999998,1.2509408,0.0,0.0,5.0,0.8218850000000004,-0.6363510000000001
GER-Bundesliga,2526,2026-01-03,Stuttgart,Wolfsburg,,,,,,1743.76623535,1642.90844727,100.85778808000008,5.0,17.0,0.16786739999999992,0.2153376999999999,1.4321326,1.5846623000000002,1.8411106000000004,1.4937099999999999,14.0,7.0,10.0,0.4713148000000002,0.2964824999999999,1.7286852,1.3035175,1.7092656000000002,1.8537268,14.0,-2.0,7.0,-0.2771330000000001,0.11242540000000045
GER-Bundesliga,2526,2026-01-03,Ein Frankfurt,Freiburg,,,,,,1727.28552246,1722.75695801,4.528564449999976,8.0,16.0,-0.038093800000000046,-0.09521650000000001,1.4380938,1.3952164999999999,1.6781846000000002,1.3223307,14.0,7.0,13.0,0.5520186,0.15683929999999985,1.8479813999999997,1.4431607,1.72693242,1.43355221,14.0,1.0,3.0,-0.28883861999999993,-0.16979679999999941
GER-Bundesliga,2526,2026-01-03,Hamburg,RB Leipzig,,,,,,1583.5847168,1760.5579834,-176.9732666,7.0,11.0,0.030278000000000027,0.018070200000000015,1.3697219999999997,1.3819298,1.4961139999999997,1.5222949,14.0,7.0,17.0,0.08051060000000021,0.5114713000000002,1.9194893999999998,1.7885286999999999,1.1636848,1.1413359,14.0,0.0,-6.0,0.2060371999999997,-0.42337540000000007
ITA-Serie A,2526,2026-01-03,Cremonese,Milan,,,,,,1588.92358398,1822.04968262,-233.12609864,7.0,11.0,-0.22081939999999983,-0.17497249999999995,1.2208193999999999,1.1749725,1.7450318,1.7494858999999998,6.0,13.0,22.0,0.16177719999999993,-0.14647970000000013,1.8382228,1.8464797000000002,0.7148348000000003,1.1230014000000001,1.0,-6.0,-11.0,0.5059845999999996,-0.09319100000000002
ITA-Serie A,2526,2026-01-03,Inter,Genoa,,,,,,1922.83178711,1620.06188965,302.76989746000004,12.0,24.0,-0.14693400000000043,-0.053173000000000026,1.9469340000000002,1.853173,1.1342346,1.0675092000000002,6.0,4.0,12.0,0.10410240000000001,0.14852720000000005,0.8958975999999998,1.2514728,1.74334,1.6922910000000002,0.0,8.0,12.0,0.20359400000000027,0.23833700000000024
ITA-Serie A,2526,2026-01-03,Parma,Cagliari,,,,,,1593.94042969,1608.60229492,-14.661865230000105,9.0,12.0,-0.47946199999999994,-0.32687203,1.279462,1.12687203,1.4794582000000003,1.6730302000000001,7.0,7.0,9.0,0.3046068,0.13135879999999997,0.8953932,0.9686412000000001,1.7833590000000004,1.4641750999999998,1.0,2.0,3.0,-0.5038970000000003,0.5840650000000003
ITA-Serie A,2526,2026-01-03,Pisa,Bologna,,,,,,1531.35839844,1749.17687988,-217.8184814399999,1.0,8.0,-0.8692941999999999,-0.40921959999999996,1.2692941999999998,1.3092196,1.7670439999999998,1.6133963999999998,7.0,5.0,16.0,-0.4284130000000002,-0.06783020000000005,1.6284129999999994,1.5678302,1.8117939999999997,1.4920631,6.0,-4.0,-8.0,-0.5424997999999999,0.1386310000000004
ITA-Serie A,2526,2026-01-03,Roma,Juventus,,,,,,1806.66320801,1812.42370605,-5.760498039999902,6.0,18.0,-0.1728912000000001,-0.17244759999999987,1.1728912,1.4724476,1.3954752000000001,1.5053733999999999,5.0,10.0,21.0,-0.6584339999999997,-0.6334499999999998,2.058434,2.13345,1.0483002,0.8413001,0.0,-4.0,-3.0,0.12459100000000012,-0.6629588
ITA-Serie A,2526,2026-01-03,Verona,Napoli,,,,,,1579.20690918,1821.4095459,-242.2026367200001,6.0,9.0,-0.003694199999999992,-0.24741360000000007,1.4036942000000001,1.3474135999999999,2.0453099999999997,1.5083914999999999,6.0,12.0,19.0,-0.26194739999999983,-0.20969110000000005,1.8619474,1.4096910999999999,0.7597167999999999,1.1621793999999999,6.0,-6.0,-10.0,0.6439774000000003,0.1833625999999997
ITA-Serie A,2526,2026-01-03,Udinese,Fiorentina,,,,,,1616.45800781,1645.16540527,-28.70739746000004,7.0,13.0,-0.1616884,-0.14519129999999997,1.3616883999999998,1.2451913000000001,1.5200438,1.6190527,7.0,3.0,6.0,-0.627674,-0.6138825000000001,2.027674,1.8138825,1.5057882,1.5848088,7.0,4.0,7.0,-0.14409980000000022,-0.5076302000000001
ITA-Serie A,2526,2026-01-03,Torino,Lazio,,,,,,1653.01293945,1748.44189453,-95.42895507999992,6.0,12.0,-0.6960360000000001,-0.4156582000000001,1.896036,1.5156582,1.0658843999999998,1.4860672000000001,7.0,6.0,16.0,-0.43753839999999966,-0.1382794,1.0375384,0.9382794000000001,1.0620482,1.1105455,7.0,0.0,-4.0,0.8339878000000001,0.02834599999999976
ITA-Serie A,2526,2026-01-03,Sassuolo,Atalanta,,,,,,1630.54138184,1792.70251465,-162.16113281000003,6.0,13.0,0.24352619999999975,0.14197789999999996,1.1564738,1.3580221,1.431965,1.3665893,0.0,9.0,13.0,-1.1044199999999997,-0.6897881,2.10442,1.5897881,1.1563244000000001,1.3363958,0.0,-3.0,0.0,0.00014939999999996623,-0.6724550000000002
ITA-Serie A,2526,2026-01-03,Como,Lecce,,,,,,1711.64221191,1567.40063477,144.24157714000012,9.0,18.0,-0.40611299999999984,-0.17593859999999997,1.606113,1.5759386000000002,1.28993,1.2522978000000002,0.0,7.0,11.0,-0.49089140000000003,-0.32809119999999997,1.2908914,1.0280912,2.0753722,1.6393833999999998,0.0,2.0,7.0,-0.4692592,-0.0009614000000000011
ENG-Premier League,2526,2026-02-05,Arsenal,Fulham,,,,,,2056.45019531,1822.67736816,233.77282714999976,8.0,20.0,-0.1626884,-0.24835133333333342,1.9626883999999998,2.248351333333334,0.48091620000000035,0.7655375555555556,5.0,7.0,17.0,0.6438964,0.3327302222222222,0.9561036000000002,1.2228253333333334,2.025798,1.7956440000000002,4.0,1.0,3.0,-0.06310960000000021,-0.4751873999999998
