team,league,pts,mp,ctx_projected,ctx_p5,ctx_p95,ctx_std,ctx_rank
St Pauli,GER-Bundesliga,17,21,30.181,24.0,37.0,4.198147091277294,17
Heidenheim,GER-Bundesliga,13,21,25.4594,19.0,33.0,4.230478890149436,18
Inter,ITA-Serie A,58,24,88.0871,81.0,95.0,4.408754199317535,1
Milan,ITA-Serie A,50,23,78.3892,70.0,86.0,4.8037821932306635,2
Napoli,ITA-Serie A,49,24,74.7602,67.0,82.0,4.59674841164926,3
Juventus,ITA-Serie A,46,24,70.8359,63.0,78.0,4.485551380822652,4
Roma,ITA-Serie A,46,24,70.3721,63.0,78.0,4.584783701550162,5
Como,ITA-Serie A,41,23,66.1593,58.0,74.0,4.783839829049463,6
Atalanta,ITA-Serie A,39,24,63.1138,55.0,71.0,4.596873889938683,7
Lazio,ITA-Serie A,33,24,52.4058,45.0,60.0,4.660721656567789,8
Bologna,ITA-Serie A,30,24,48.9913,41.0,57.0,4.637200050677132,9
Udinese,ITA-Serie A,32,24,47.7802,41.0,55.0,4.483111415077703,10
Sassuolo,ITA-Serie A,29,24,45.199,38.0,53.0,4.495731197480561,11
Cagliari,ITA-Serie A,28,24,44.8456,38.0,52.0,4.533162322264668,12
Torino,ITA-Serie A,27,24,44.462,37.0,52.0,4.632661869810919,13
Parma,ITA-Serie A,26,24,41.8286,35.0,49.0,4.4046818318693575,14
Genoa,ITA-Serie A,23,24,38.125,31.0,46.0,4.4097817406307085,15
Cremonese,ITA-Serie A,23,24,37.1553,30.0,45.0,4.463471956896335,16
Fiorentina,ITA-Serie A,18,24,35.5463,28.0,43.0,4.530944306653967,17
Lecce,ITA-Serie A,21,24,34.9622,28.0,42.0,4.339512779103202,18
Pisa,ITA-Serie A,15,24,27.7254,21.0,35.0,4.343362158512688,19
Verona,ITA-Serie A,15,24,26.5098,20.0,34.0,4.157896578800392,20
