team,league,pts,ens_projected,ens_p5,ens_p95,ens_rank,ml_projected,elo_projected,ml_vs_elo,ml_rank,ens_vs_rf,ens_vs_elo
Strasbourg,FRA-Ligue 1,30,49.4013,42.0,57.0,6,48.0,50.2,-2.200000000000003,6,1.401299999999999,-0.7987000000000037
Rennes,FRA-Ligue 1,31,48.6259,41.0,56.0,7,47.9,49.4,-1.5,7,0.7259000000000029,-0.7740999999999971
Toulouse,FRA-Ligue 1,30,47.1148,40.0,54.0,8,46.6,47.3,-0.6999999999999957,9,0.514800000000001,-0.1851999999999947
Monaco,FRA-Ligue 1,28,46.4663,39.0,54.0,9,46.7,46.5,0.2000000000000028,8,-0.23370000000000601,-0.03370000000000317
Lorient,FRA-Ligue 1,28,43.7354,37.0,51.0,10,43.4,44.4,-1.0,12,0.3353999999999999,-0.6646000000000001
Brest,FRA-Ligue 1,26,43.575,36.0,51.0,11,43.5,43.6,-0.1000000000000014,11,0.07500000000000284,-0.02499999999999858
Angers,FRA-Ligue 1,29,43.3909,36.0,51.0,12,43.9,43.0,0.8999999999999986,10,-0.5090999999999966,0.390900000000002
Nice,FRA-Ligue 1,23,37.5141,31.0,45.0,13,37.4,38.0,-0.6000000000000014,14,0.11410000000000053,-0.4859000000000009
Le Havre,FRA-Ligue 1,23,36.9518,30.0,44.0,14,38.3,37.8,0.5,13,-1.3481999999999985,-0.8481999999999985
Paris FC,FRA-Ligue 1,22,35.4223,29.0,43.0,15,35.5,35.0,0.5,15,-0.0777000000000001,0.4222999999999999
Auxerre,FRA-Ligue 1,14,28.9527,22.0,36.0,16,29.5,28.9,0.6000000000000014,16,-0.5472999999999999,0.05270000000000152
Metz,FRA-Ligue 1,13,26.376,20.0,34.0,17,26.1,26.6,-0.5,18,0.2759999999999998,-0.2240000000000002
Nantes,FRA-Ligue 1,14,25.69,19.0,33.0,18,26.6,26.4,0.2000000000000028,17,-0.9100000000000001,-0.7099999999999973
Bayern Munich,GER-Bundesliga,54,83.4332,77.0,90.0,1,79.4,81.7,-2.299999999999997,1,4.033199999999994,1.7331999999999965
Dortmund,GER-Bundesliga,48,72.1404,65.0,79.0,2,70.8,71.4,-0.6000000000000085,2,1.3404000000000025,0.740399999999994
Hoffenheim,GER-Bundesliga,42,63.2453,55.0,71.0,3,61.1,63.1,-2.0,3,2.145299999999999,0.14529999999999887
