team,league,pts,mp,w,d,l,gd,sim_pts_mean,sim_pts_p5,sim_pts_p25,sim_pts_p75,sim_pts_p95,projected_pts,projected_p5,projected_p95,rank
Heidenheim,GER-Bundesliga,13,21,3,4,14,-28.0,11.8,5.0,9.0,15.0,19.0,24.8,18.0,32.0,18
Inter,ITA-Serie A,58,24,19,1,4,38.0,27.8,20.0,25.0,31.0,35.0,85.8,78.0,93.0,1
Milan,ITA-Serie A,50,23,14,8,1,21.0,27.3,19.0,24.0,31.0,35.0,77.3,69.0,85.0,2
Napoli,ITA-Serie A,49,24,15,4,5,13.0,25.2,17.0,22.0,28.0,33.0,74.2,66.0,82.0,3
Juventus,ITA-Serie A,46,24,13,7,4,21.0,24.2,17.0,21.0,27.0,32.0,70.2,63.0,78.0,4
Roma,ITA-Serie A,46,24,15,1,8,15.0,23.7,16.0,21.0,27.0,31.0,69.7,62.0,77.0,5
Como,ITA-Serie A,41,23,11,8,4,21.0,23.0,15.0,20.0,26.0,31.0,64.0,56.0,72.0,6
Atalanta,ITA-Serie A,39,24,10,9,5,11.0,22.1,15.0,19.0,25.0,30.0,61.1,54.0,69.0,7
Lazio,ITA-Serie A,33,24,8,9,7,3.0,20.4,13.0,17.0,23.0,28.0,53.4,46.0,61.0,8
Bologna,ITA-Serie A,30,24,8,6,10,1.0,19.6,12.0,16.0,23.0,27.0,49.6,42.0,57.0,9
Udinese,ITA-Serie A,32,24,9,5,10,-9.0,16.5,9.0,13.0,20.0,24.0,48.5,41.0,56.0,10
Sassuolo,ITA-Serie A,29,24,8,5,11,-7.0,16.9,9.0,14.0,20.0,25.0,45.9,38.0,54.0,11
Cagliari,ITA-Serie A,28,24,7,7,10,-5.0,17.2,10.0,14.0,20.0,25.0,45.2,38.0,53.0,12
Torino,ITA-Serie A,27,24,7,6,11,-18.0,17.4,10.0,14.0,20.0,25.0,44.4,37.0,52.0,13
Parma,ITA-Serie A,26,24,6,8,10,-14.0,16.2,9.0,13.0,19.0,24.0,42.2,35.0,50.0,14
Genoa,ITA-Serie A,23,24,5,8,11,-8.0,16.6,9.0,13.0,20.0,24.0,39.6,32.0,47.0,15
Cremonese,ITA-Serie A,23,24,5,8,11,-12.0,15.4,8.0,12.0,18.0,23.0,38.4,31.0,46.0,16
Fiorentina,ITA-Serie A,18,24,3,9,12,-11.0,18.2,11.0,15.0,21.0,26.0,36.2,29.0,44.0,17
Lecce,ITA-Serie A,21,24,5,6,13,-16.0,13.6,7.0,11.0,16.0,21.0,34.6,28.0,42.0,18
Pisa,ITA-Serie A,15,24,1,12,11,-21.0,12.8,6.0,10.0,16.0,20.0,27.8,21.0,35.0,19
Verona,ITA-Serie A,15,24,2,9,13,-23.0,12.4,6.0,9.0,15.0,20.0,27.4,21.0,35.0,20
