league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ITA-Serie A,1415,2015-03-01 Cesena-Udinese,2,2014,4884,2015-03-01 14:00:00,203,99,Cesena,Udinese,UDI,CES,1,0,1.26469,0.378987,True,True,https://understat.com/match/4884
ITA-Serie A,1415,2015-03-01 Inter-Fiorentina,2,2014,4886,2015-03-01 17:00:00,106,110,Inter,Fiorentina,FIO,INT,0,1,0.61408,0.687722,True,True,https://understat.com/match/4886
ITA-Serie A,1415,2015-03-01 Palermo-Empoli,2,2014,4882,2015-03-01 14:00:00,100,108,Palermo,Empoli,EMP,PAL,0,0,1.15896,1.18531,True,True,https://understat.com/match/4882
ITA-Serie A,1415,2015-03-01 Sassuolo-Lazio,2,2014,4885,2015-03-01 14:00:00,104,96,Sassuolo,Lazio,LAZ,SAS,0,3,0.811845,3.94782,True,True,https://understat.com/match/4885
ITA-Serie A,1415,2015-03-01 Torino-Napoli,2,2014,4887,2015-03-01 19:45:00,113,105,Torino,Napoli,NAP,TOR,1,0,0.963003,0.727542,True,True,https://understat.com/match/4887
ITA-Serie A,1415,2015-03-02 Roma-Juventus,2,2014,4888,2015-03-02 19:45:00,95,98,Roma,Juventus,JUV,ROM,1,1,0.355629,0.63406,True,True,https://understat.com/match/4888
ITA-Serie A,1415,2015-03-07 AC Milan-Verona,2,2014,4890,2015-03-07 19:45:00,111,94,AC Milan,Verona,VER,MIL,2,2,2.17254,1.55229,True,True,https://understat.com/match/4890
ITA-Serie A,1415,2015-03-07 Sampdoria-Cagliari,2,2014,4889,2015-03-07 17:00:00,102,116,Sampdoria,Cagliari,CAG,SAM,2,0,1.30566,0.539042,True,True,https://understat.com/match/4889
ITA-Serie A,1415,2015-03-08 Cesena-Palermo,2,2014,4891,2015-03-08 11:30:00,203,100,Cesena,Palermo,PAL,CES,0,0,0.0514277,0.275999,True,True,https://understat.com/match/4891
ITA-Serie A,1415,2015-03-08 Chievo-Roma,2,2014,4892,2015-03-08 14:00:00,109,95,Chievo,Roma,ROM,CHI,0,0,0.697014,0.723373,True,True,https://understat.com/match/4892
ITA-Serie A,1415,2015-03-08 Empoli-Genoa,2,2014,4893,2015-03-08 14:00:00,108,101,Empoli,Genoa,GEN,EMP,1,1,1.17737,0.915374,True,True,https://understat.com/match/4893
ITA-Serie A,1415,2015-03-08 Napoli-Inter,2,2014,4896,2015-03-08 19:45:00,105,106,Napoli,Inter,INT,NAP,2,2,1.46206,1.48015,True,True,https://understat.com/match/4896
ITA-Serie A,1415,2015-03-08 Parma-Atalanta,2,2014,4894,2015-03-08 14:00:00,204,107,Parma,Atalanta,ATA,PAR,0,0,0.556685,0.222416,True,True,https://understat.com/match/4894
ITA-Serie A,1415,2015-03-08 Udinese-Torino,2,2014,4895,2015-03-08 14:00:00,99,113,Udinese,Torino,TOR,UDI,3,2,1.2006,1.11601,True,True,https://understat.com/match/4895
ITA-Serie A,1415,2015-03-09 Juventus-Sassuolo,2,2014,4898,2015-03-09 20:00:00,98,104,Juventus,Sassuolo,SAS,JUV,1,0,0.780512,0.0929487,True,True,https://understat.com/match/4898
ITA-Serie A,1415,2015-03-09 Lazio-Fiorentina,2,2014,4897,2015-03-09 18:00:00,96,110,Lazio,Fiorentina,FIO,LAZ,4,0,3.70253,0.200536,True,True,https://understat.com/match/4897
ITA-Serie A,1415,2015-03-14 Cagliari-Empoli,2,2014,4900,2015-03-14 19:45:00,116,108,Cagliari,Empoli,EMP,CAG,1,1,0.976957,0.670824,True,True,https://understat.com/match/4900
ITA-Serie A,1415,2015-03-14 Palermo-Juventus,2,2014,4899,2015-03-14 17:00:00,100,98,Palermo,Juventus,JUV,PAL,0,1,0.247164,0.510054,True,True,https://understat.com/match/4899
ITA-Serie A,1415,2015-03-15 Atalanta-Udinese,2,2014,4903,2015-03-15 14:00:00,107,99,Atalanta,Udinese,UDI,ATA,0,0,0.74162,0.270521,True,True,https://understat.com/match/4903
ITA-Serie A,1415,2015-03-15 Genoa-Chievo,2,2014,4901,2015-03-15 14:00:00,101,109,Genoa,Chievo,CHI,GEN,0,2,1.10083,1.28332,True,True,https://understat.com/match/4901
ITA-Serie A,1415,2015-03-15 Inter-Cesena,2,2014,4905,2015-03-15 19:45:00,106,203,Inter,Cesena,CES,INT,1,1,1.24118,0.306265,True,True,https://understat.com/match/4905
ITA-Serie A,1415,2015-03-15 Sassuolo-Parma,2,2014,4902,2015-03-15 14:00:00,104,204,Sassuolo,Parma,PAR,SAS,4,1,2.41615,0.335275,True,True,https://understat.com/match/4902
