league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2324,2024-01-13 FC Cologne-FC Heidenheim,3,2023,23214,2024-01-13 14:30:00,134,280,FC Cologne,FC Heidenheim,HEI,COL,1,1,0.641578,1.27869,True,True,https://understat.com/match/23214
GER-Bundesliga,2324,2024-01-13 Freiburg-Union Berlin,3,2023,23211,2024-01-13 14:30:00,135,240,Freiburg,Union Berlin,UNI,FRE,0,0,2.1675,0.424997,True,True,https://understat.com/match/23211
GER-Bundesliga,2324,2024-01-13 Mainz 05-Wolfsburg,3,2023,23212,2024-01-13 14:30:00,125,131,Mainz 05,Wolfsburg,WOL,MAI,1,1,0.366084,0.419404,True,True,https://understat.com/match/23212
GER-Bundesliga,2324,2024-01-13 RasenBallsport Leipzig-Eintracht Frankfurt,3,2023,23210,2024-01-13 14:30:00,136,132,RasenBallsport Leipzig,Eintracht Frankfurt,EIN,RBL,0,1,2.67312,1.07791,True,True,https://understat.com/match/23210
GER-Bundesliga,2324,2024-01-14 Bochum-Werder Bremen,3,2023,23215,2024-01-14 14:30:00,268,123,Bochum,Werder Bremen,WER,BOC,1,1,1.24017,0.934194,True,True,https://understat.com/match/23215
GER-Bundesliga,2324,2024-01-14 Borussia M.Gladbach-VfB Stuttgart,3,2023,23213,2024-01-14 16:30:00,130,133,Borussia M.Gladbach,VfB Stuttgart,STU,BMG,3,1,2.02288,1.24703,True,True,https://understat.com/match/23213
GER-Bundesliga,2324,2024-01-20 Bochum-VfB Stuttgart,3,2023,23224,2024-01-20 14:30:00,268,133,Bochum,VfB Stuttgart,STU,BOC,1,0,0.71453,1.99316,True,True,https://understat.com/match/23224
GER-Bundesliga,2324,2024-01-20 Darmstadt-Eintracht Frankfurt,3,2023,23226,2024-01-20 14:30:00,127,132,Darmstadt,Eintracht Frankfurt,EIN,DAR,2,2,1.3877,1.28892,True,True,https://understat.com/match/23226
GER-Bundesliga,2324,2024-01-20 FC Cologne-Borussia Dortmund,3,2023,23223,2024-01-20 14:30:00,134,129,FC Cologne,Borussia Dortmund,DOR,COL,0,4,1.3929,3.48032,True,True,https://understat.com/match/23223
GER-Bundesliga,2324,2024-01-20 FC Heidenheim-Wolfsburg,3,2023,23225,2024-01-20 14:30:00,280,131,FC Heidenheim,Wolfsburg,WOL,HEI,1,1,1.19211,1.22104,True,True,https://understat.com/match/23225
GER-Bundesliga,2324,2024-01-20 Freiburg-Hoffenheim,3,2023,23220,2024-01-20 14:30:00,135,120,Freiburg,Hoffenheim,HOF,FRE,3,2,2.47971,1.76349,True,True,https://understat.com/match/23220
GER-Bundesliga,2324,2024-01-20 RasenBallsport Leipzig-Bayer Leverkusen,3,2023,23219,2024-01-20 17:30:00,136,119,RasenBallsport Leipzig,Bayer Leverkusen,LEV,RBL,2,3,1.59453,2.17224,True,True,https://understat.com/match/23219
GER-Bundesliga,2324,2024-01-21 Bayern Munich-Werder Bremen,3,2023,23218,2024-01-21 14:30:00,117,123,Bayern Munich,Werder Bremen,WER,BAY,0,1,1.54562,0.429252,True,True,https://understat.com/match/23218
GER-Bundesliga,2324,2024-01-21 Borussia M.Gladbach-Augsburg,3,2023,23222,2024-01-21 16:30:00,130,121,Borussia M.Gladbach,Augsburg,AUG,BMG,1,2,1.87919,1.61193,True,True,https://understat.com/match/23222
GER-Bundesliga,2324,2024-01-24 Bayern Munich-Union Berlin,3,2023,23173,2024-01-24 18:30:00,117,240,Bayern Munich,Union Berlin,UNI,BAY,1,0,2.172,0.477644,True,True,https://understat.com/match/23173
GER-Bundesliga,2324,2024-01-26 Eintracht Frankfurt-Mainz 05,3,2023,23230,2024-01-26 19:30:00,132,125,Eintracht Frankfurt,Mainz 05,MAI,EIN,1,0,1.13826,0.815239,True,True,https://understat.com/match/23230
GER-Bundesliga,2324,2024-01-27 Augsburg-Bayern Munich,3,2023,23234,2024-01-27 14:30:00,121,117,Augsburg,Bayern Munich,BAY,AUG,2,3,2.68517,2.27504,True,True,https://understat.com/match/23234
GER-Bundesliga,2324,2024-01-27 Bayer Leverkusen-Borussia M.Gladbach,3,2023,23229,2024-01-27 17:30:00,119,130,Bayer Leverkusen,Borussia M.Gladbach,BMG,LEV,0,0,3.32828,0.278864,True,True,https://understat.com/match/23229
GER-Bundesliga,2324,2024-01-27 Hoffenheim-FC Heidenheim,3,2023,23232,2024-01-27 14:30:00,120,280,Hoffenheim,FC Heidenheim,HEI,HOF,1,1,3.23703,1.10065,True,True,https://understat.com/match/23232
GER-Bundesliga,2324,2024-01-27 VfB Stuttgart-RasenBallsport Leipzig,3,2023,23235,2024-01-27 14:30:00,133,136,VfB Stuttgart,RasenBallsport Leipzig,RBL,STU,5,2,3.13056,0.495967,True,True,https://understat.com/match/23235
GER-Bundesliga,2324,2024-01-27 Werder Bremen-Freiburg,3,2023,23233,2024-01-27 14:30:00,123,135,Werder Bremen,Freiburg,FRE,WER,3,1,2.33032,1.33739,True,True,https://understat.com/match/23233
GER-Bundesliga,2324,2024-01-27 Wolfsburg-FC Cologne,3,2023,23231,2024-01-27 14:30:00,131,134,Wolfsburg,FC Cologne,COL,WOL,1,1,2.13999,0.365929,True,True,https://understat.com/match/23231
GER-Bundesliga,2324,2024-01-28 Borussia Dortmund-Bochum,3,2023,23227,2024-01-28 16:30:00,129,268,Borussia Dortmund,Bochum,BOC,DOR,3,1,3.09919,0.388377,True,True,https://understat.com/match/23227
GER-Bundesliga,2324,2024-01-28 Union Berlin-Darmstadt,3,2023,23228,2024-01-28 14:30:00,240,127,Union Berlin,Darmstadt,DAR,UNI,1,0,3.54733,1.00135,True,True,https://understat.com/match/23228
GER-Bundesliga,2324,2024-02-02 FC Heidenheim-Borussia Dortmund,3,2023,23243,2024-02-02 19:30:00,280,129,FC Heidenheim,Borussia Dortmund,DOR,HEI,0,0,1.00945,0.8117,True,True,https://understat.com/match/23243
GER-Bundesliga,2324,2024-02-03 Bayern Munich-Borussia M.Gladbach,3,2023,23236,2024-02-03 14:30:00,117,130,Bayern Munich,Borussia M.Gladbach,BMG,BAY,3,1,2.58401,0.780069,True,True,https://understat.com/match/23236
GER-Bundesliga,2324,2024-02-03 Bochum-Augsburg,3,2023,23242,2024-02-03 14:30:00,268,121,Bochum,Augsburg,AUG,BOC,1,1,1.16731,1.39431,True,True,https://understat.com/match/23242
GER-Bundesliga,2324,2024-02-03 Darmstadt-Bayer Leverkusen,3,2023,23244,2024-02-03 14:30:00,127,119,Darmstadt,Bayer Leverkusen,LEV,DAR,0,2,0.432778,2.18207,True,True,https://understat.com/match/23244
GER-Bundesliga,2324,2024-02-03 FC Cologne-Eintracht Frankfurt,3,2023,23241,2024-02-03 17:30:00,134,132,FC Cologne,Eintracht Frankfurt,EIN,COL,2,0,2.09653,1.16049,True,True,https://understat.com/match/23241
GER-Bundesliga,2324,2024-02-03 Freiburg-VfB Stuttgart,3,2023,23238,2024-02-03 14:30:00,135,133,Freiburg,VfB Stuttgart,STU,FRE,1,3,1.15964,2.73728,True,True,https://understat.com/match/23238
GER-Bundesliga,2324,2024-02-03 Mainz 05-Werder Bremen,3,2023,23240,2024-02-03 14:30:00,125,123,Mainz 05,Werder Bremen,WER,MAI,0,1,1.04044,0.395044,True,True,https://understat.com/match/23240
GER-Bundesliga,2324,2024-02-04 RasenBallsport Leipzig-Union Berlin,3,2023,23237,2024-02-04 16:30:00,136,240,RasenBallsport Leipzig,Union Berlin,UNI,RBL,2,0,1.7598,0.65912,True,True,https://understat.com/match/23237
GER-Bundesliga,2324,2024-02-04 Wolfsburg-Hoffenheim,3,2023,23239,2024-02-04 14:30:00,131,120,Wolfsburg,Hoffenheim,HOF,WOL,2,2,1.60418,1.93269,True,True,https://understat.com/match/23239
GER-Bundesliga,2324,2024-02-07 Mainz 05-Union Berlin,3,2023,23221,2024-02-07 17:30:00,125,240,Mainz 05,Union Berlin,UNI,MAI,1,1,1.37814,1.53583,True,True,https://understat.com/match/23221
